Supplementary Table 2. GAS strains used in this study.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Assembly statistics,,,,,,,Mapping statistics (subsampled),,,,
Strain,Other Identifier,Country,Geographical Region,M Cluster,MLST,PopPUNK,Year,emm Family,emm Sub-type,tissue/source,Clinical,Invasive (pyseer),Reference,,Assembly accession number,Contigs,Size (bp),N50 (bp),Insert size (average),,sample accession number,Reads,read length,Phred,AvgQual,Depth
NS2403,11826_4_60,Australia,Oceania ,A-C5,ST335,98,2000,3,emm3.22,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983175,20,1767153,380038,245,,ERS366814,1350000,100,33,36.5,73
NS2413,11826_4_61,Australia,Oceania ,E6,ST109,63,2000,85,emm85.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900983165,15,1784018,320921,225,,ERS366815,1350000,100,33,36.6,73
NS2985,11826_4_62,Australia,Oceania ,M105,ST954,42,2001,105,emm105.0,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983155,19,1806469,177344,241,,ERS366816,1350000,100,33,36.4,73
NS4729,11826_4_63,Australia,Oceania ,M55,ST100,44,2005,55,emm55.0,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983145,21,1853146,142787,242,,ERS366817,1350000,100,33,36.8,73
NS4972,11826_4_64,Australia,Oceania ,M55,ST100,44,2005,55,emm55.0,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983215,22,1853343,162420,239,,ERS366818,1350000,100,33,36.6,73
NS81,11826_4_65,Australia,Oceania ,M55,ST100,44,1992,55,emm55.0,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983185,24,1852525,154101,248,,ERS366819,1350000,100,33,36.6,73
NS2188,11826_4_66,Australia,Oceania ,E3,ST190,15,2000,49,emm49.3,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983245,15,1764805,228636,259,,ERS366820,1350000,100,33,36.6,73
GAS253,11826_4_67,Australia,Oceania ,M19,ST370,99,ND,19,emm19.7,ND,ND,ND,This study,,GCA_900983255,27,1810865,117040,248,,ERS366821,1350000,100,33,36.6,73
NS5268,11826_4_71,Australia,Oceania ,M55,ST100,44,2005,55,emm55.0,Throat,APSGN,0,This study,,GCA_900983235,21,1853532,154097,250,,ERS366825,1350000,100,33,36.5,73
NS426,11826_4_72,Australia,Oceania ,A-C3,ST92,49,1995,239,emm239.0,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983225,27,1858893,153531,258,,ERS366826,1350000,100,33,36.5,73
NS100,11826_4_73,Australia,Oceania ,E2,ST298,76,1992,68,emm68.2,Throat,APSGN,0,This study,,GCA_900983265,22,1715978,134429,252,,ERS366827,1350000,100,33,36.5,73
NS6902,11826_4_74,Australia,Oceania ,E3,ST371,15,ND,49,emm49.0,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983275,17,1799241,258737,242,,ERS366828,1350000,100,33,36.7,73
NS3965,11826_4_75,Australia,Oceania ,E3,ST190,15,ND,49,emm49.3,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900983285,16,1856414,185439,263,,ERS366829,1350000,100,33,36.6,73
Dog48,11826_4_76,Australia,Oceania ,D4,ST12,8,1990,91,emm91.0,ND,ND,ND,This study,,GCA_900983295,19,1747790,170840,249,,ERS366830,1350000,100,33,36.6,73
NS27,11826_4_77,Australia,Oceania ,D4,ST12,8,1991,91,emm91.0,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983315,16,1747745,441076,253,,ERS366831,1350000,100,33,36.6,73
NS38,11826_4_78,Australia,Oceania ,M57,ST33,115,1991,57,emm57.2,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983305,13,1751357,426901,262,,ERS366832,1350000,100,33,36.3,73
NS5658,11826_4_79,Australia,Oceania ,M55,ST100,44,2005,55,emm55.0,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983325,22,1853228,121533,245,,ERS366833,1350000,100,33,36.5,73
NS76,11826_4_80,Australia,Oceania ,D4,ST205,56,1992,98,emm98.1,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983365,12,1759129,258672,239,,ERS366834,1350000,100,33,36.7,73
NS48,11826_4_83,Australia,Oceania ,M57,ST33,115,1991,57,emm57.2,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983375,14,1751168,426915,248,,ERS366837,1350000,100,33,36.3,73
SDog,11826_4_84,Australia,Oceania ,D4,ST10,13,1990,70,emm70.0,ND,ND,ND,This study,,GCA_900983335,14,1800931,242472,248,,ERS366838,1350000,100,33,36.5,73
NS22,11826_4_85,Australia,Oceania ,M57,ST33,115,1991,57,emm57.2,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983395,20,1804808,239140,246,,ERS366839,1350000,100,33,36.7,73
YARB5,11826_4_86,Australia,Oceania ,D4,ST180,84,2010,52,emm52.1,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900983385,12,1722878,245780,257,,ERS366840,1350000,100,33,36.5,73
NS2283,11826_4_87,Australia,Oceania ,A-C5,ST335,98,2000,3,emm3.22,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983355,20,1767130,379986,251,,ERS366841,1350000,100,33,36.6,73
NS2299,11826_4_88,Australia,Oceania ,A-C5,ST335,98,2000,3,emm3.22,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983345,22,1766747,197106,238,,ERS366842,1350000,100,33,36.7,73
NS2361,11826_4_89,Australia,Oceania ,D4,ST10,13,2000,70,emm70.0,skin sore / abscess / burns / IV Site,APSGN,0,This study,,GCA_900983405,19,1800365,239768,239,,ERS366843,1350000,100,33,36.6,73
YARC4,11826_4_90,Australia,Oceania ,E2,ST82,33,2010,92,emm92.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900983415,17,1736934,187773,249,,ERS366844,1350000,100,33,36.6,73
YARG2,11826_4_91,Australia,Oceania ,E6,ST547,5,2010,11,emm11.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900983425,15,1808568,243717,245,,ERS366845,1350000,100,33,36.5,73
YARG4,11826_4_92,Australia,Oceania ,E4,ST544,116,2010,124,emm124.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900983435,17,1743892,458843,251,,ERS366846,1350000,100,33,36.4,73
NS53,5364_8_1,Australia,Oceania ,D2,ST318,23,1991,71,emm71.0,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995335,24,1722552,120582,244,,ERS013667,1776314,76,33,31,73
NS564,5364_8_2,Australia,Oceania ,E3,ST178,12,1995,44,emm44.0,Blood,iGAS,1,This study,,GCA_900995395,21,1771070,210741,251,,ERS013668,1776314,76,33,30.8,73
NS696,5364_8_3,Australia,Oceania ,A-C3,ST1014,1,1996,1,emm1.0,Throat,Pharyngitis,0,This study,,GCA_900995385,16,1760211,221214,256,,ERS013669,1776314,76,33,30.6,73
NS730,5364_8_4,Australia,Oceania ,E2,ST1083,35,1996,90,emm90.5,skin sore / abscess / burns / IV Site,Superficial soft tissue infection,0,This study,,GCA_900995325,10,1750471,427939,257,,ERS013670,1776314,76,33,30.8,73
